total_items=34607 translated_items=33989 total_chars=202644 unique_chars=2022
 count  char  codepoint
     1  丘  U+4E18
     1  丰  U+4E30
     1  乞  U+4E5E
     1  乡  U+4E61
     1  乳  U+4E73
     1  仰  U+4EF0
     1  伐  U+4F10
     1  伪  U+4F2A
     1  供  U+4F9B
     1  侵  U+4FB5
     1  傀  U+5080
     1  催  U+50AC
     1  儡  U+5121
     1  冰  U+51B0
     1  剥  U+5265
     1  劣  U+52A3
     1  叨  U+53E8
     1  叮  U+53EE
     1  司  U+53F8
     1  咻  U+54BB
     1  哑  U+54D1
     1  唰  U+5530
     1  喻  U+55BB
     1  嗷  U+55F7
     1  嘟  U+561F
     1  嘱  U+5631
     1  囔  U+56D4
     1  圈  U+5708
     1  垂  U+5782
     1  垮  U+57AE
     1  埋  U+57CB
     1  堤  U+5824
     1  堪  U+582A
     1  堵  U+5835
     1  夙  U+5919
     1  妒  U+5992
     1  委  U+59D4
     1  姨  U+59E8
     1  婚  U+5A5A
     1  婴  U+5A74
     1  嫉  U+5AC9
     1  宠  U+5BA0
     1  审  U+5BA1
     1  宣  U+5BA3
     1  宴  U+5BB4
     1  宵  U+5BB5
     1  寡  U+5BE1
     1  尘  U+5C18
     1  尸  U+5C38
     1  尼  U+5C3C
     1  履  U+5C65
     1  岔  U+5C94
     1  峻  U+5CFB
     1  巫  U+5DEB
     1  巷  U+5DF7
     1  帝  U+5E1D
     1  幼  U+5E7C
     1  庇  U+5E87
     1  弓  U+5F13
     1  弯  U+5F2F
     1  弹  U+5F39
     1  录  U+5F55
     1  彩  U+5F69
     1  怅  U+6005
     1  恙  U+6059
     1  悦  U+60A6
     1  惠  U+60E0
     1  惩  U+60E9
     1  惶  U+60F6
     1  愣  U+6123
     1  愤  U+6124
     1  慧  U+6167
     1  懈  U+61C8
     1  截  U+622A
     1  扩  U+6269
     1  扬  U+626C
     1  批  U+6279
     1  扼  U+627C
     1  抖  U+6296
     1  抹  U+62B9
     1  押  U+62BC
     1  拙  U+62D9
     1  拢  U+62E2
     1  拮  U+62EE
     1  拳  U+62F3
     1  挚  U+631A
     1  挣  U+6323
     1  挤  U+6324
     1  捕  U+6355
     1  损  U+635F
     1  捣  U+6363
     1  捧  U+6367
     1  掏  U+638F
     1  掖  U+6396
     1  探  U+63A2
     1  掩  U+63A9
     1  掰  U+63B0
     1  掺  U+63BA
     1  揉  U+63C9
     1  揽  U+63FD
     1  搅  U+6405
     1  摔  U+6454
     1  摘  U+6458
     1  擦  U+64E6
     1  敛  U+655B
     1  敞  U+655E
     1  施  U+65BD
     1  旧  U+65E7
     1  旷  U+65F7
     1  晶  U+6676
     1  智  U+667A
     1  晾  U+667E
     1  暮  U+66AE
     1  末  U+672B
     1  朱  U+6731
     1  朽  U+673D
     1  枝  U+679D
     1  柱  U+67F1
     1  校  U+6821
     1  栽  U+683D
     1  桶  U+6876
     1  械  U+68B0
     1  棋  U+68CB
     1  棘  U+68D8
     1  欣  U+6B23
     1  歧  U+6B67
     1  氓  U+6C13
     1  汁  U+6C41
     1  汇  U+6C47
     1  汉  U+6C49
     1  池  U+6C60
     1  汽  U+6C7D
     1  沐  U+6C90
     1  沟  U+6C9F
     1  泡  U+6CE1
     1  泥  U+6CE5
